Month,Season,Product type,Price,Availability,Number of products sold,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping costs,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Location,Seasonal_Factor,Correct_Revenue
7,Rainy,skincare,103.65,45,641,Female,357,16,38,2,4.31,613,15,73.4,Pass,0.219,Rail,Route A,55.68,Mumbai,0.95,63117.67
4,Summer,haircare,104.84,44,293,Male,430,4,246,12,5.76,1189,31,97.67,Pass,0.026,Sea,Route A,52.64,Chennai,1.1,33789.93
11,Festive,haircare,87.8,54,1956,Female,89,14,209,8,12.31,546,26,90.85,Pending,0.126,Sea,Route B,190.52,Kolkata,1.3,223257.84
8,Rainy,haircare,78.08,55,1879,Male,117,4,269,12,17.14,1286,18,84.18,Fail,0.051,Sea,Route B,215.63,Hyderabad,0.95,139376.7
5,Summer,haircare,148.34,33,585,Non-binary,444,18,127,11,8.82,957,21,28.23,Fail,0.054,Air,Route A,132.13,Chennai,1.1,95456.79
7,Rainy,skincare,128.53,75,1437,Non-binary,24,18,281,11,14.58,1054,6,84.76,Pending,0.21,Air,Route B,217.91,Bangalore,0.95,175462.73
10,Festive,skincare,82.2,25,1820,Male,204,18,89,5,11.34,225,34,26.72,Fail,0.042,Road,Route C,77.5,Hyderabad,1.3,194485.2
3,Summer,skincare,117.28,51,904,Female,223,3,84,3,16.87,312,33,111.77,Pass,0.017,Rail,Route A,109.18,Bangalore,1.1,116623.23
7,Rainy,skincare,62.35,45,346,Female,432,7,196,2,12.34,760,24,105.42,Fail,0.021,Air,Route C,210.13,Chennai,0.95,20494.44
11,Festive,haircare,42.02,34,729,Male,397,13,50,4,21.74,134,36,22.34,Fail,0.088,Air,Route C,69.03,Kolkata,1.3,39822.35
11,Festive,haircare,72.29,68,537,Male,31,7,255,2,24.64,614,5,41.38,Fail,0.135,Rail,Route A,136.92,Hyderabad,1.3,50465.65
8,Rainy,haircare,78.36,75,172,Male,428,13,67,12,23.09,1410,39,76.92,Pass,0.003,Sea,Route B,67.81,Chennai,0.95,12804.02
5,Summer,haircare,31.98,56,1192,Male,258,4,239,6,6.71,800,25,24.49,Pass,0.248,Sea,Route A,90.38,Bangalore,1.1,41932.18
4,Summer,skincare,127.78,72,853,Female,437,16,121,7,13.06,222,10,110.97,Pass,0.235,Air,Route C,171.6,Chennai,1.1,119895.97
8,Rainy,haircare,73.1,77,1275,Non-binary,350,15,213,12,13.09,674,23,109.87,Fail,0.116,Rail,Route C,189.06,Bangalore,0.95,88542.38
8,Rainy,skincare,99.65,97,930,Female,490,13,49,7,21.49,323,39,36.91,Pending,0.037,Road,Route C,93.33,Delhi,0.95,88040.78
3,Summer,haircare,38.88,55,193,Male,299,10,67,7,10.86,656,20,112.05,Fail,0.04,Road,Route C,186.19,Hyderabad,1.1,8254.22
6,Rainy,haircare,51.0,30,534,Female,134,10,198,8,15.09,609,17,90.31,Pass,0.097,Road,Route B,244.12,Kolkata,0.95,25872.3
5,Summer,haircare,136.76,46,1906,Male,388,5,182,2,16.4,858,18,66.19,Pending,0.228,Sea,Route B,81.14,Chennai,1.1,286731.02
2,Winter,haircare,103.04,21,1554,Male,229,4,86,5,5.45,1154,14,65.93,Pending,0.103,Rail,Route A,48.44,Chennai,0.9,144111.74
8,Rainy,skincare,144.03,41,556,Male,466,19,57,11,15.28,880,17,51.49,Pass,0.097,Rail,Route A,123.24,Mumbai,0.95,76076.65
12,Festive,skincare,149.85,85,1553,Male,338,15,99,11,8.43,282,36,78.58,Pending,0.23,Rail,Route A,153.75,Kolkata,1.3,302532.16
6,Rainy,skincare,74.62,36,328,Female,413,9,20,10,7.55,1346,34,80.17,Pass,0.248,Air,Route C,91.04,Hyderabad,0.95,23251.59
2,Winter,skincare,65.86,23,129,Male,152,16,65,11,8.51,1019,10,37.02,Fail,0.096,Air,Route C,106.5,Mumbai,0.9,7646.35
12,Festive,haircare,133.0,33,1748,Female,242,4,288,13,5.19,640,17,68.39,Pass,0.241,Air,Route B,43.06,Mumbai,1.3,302229.2
5,Summer,haircare,149.83,26,434,Female,364,11,42,3,4.53,720,22,31.04,Pass,0.032,Air,Route A,133.0,Bangalore,1.1,71528.84
1,Winter,skincare,105.56,98,759,Non-binary,200,17,189,14,17.23,1497,22,97.3,Pass,0.05,Air,Route B,188.51,Hyderabad,0.9,72108.04
12,Festive,skincare,125.42,35,668,Female,484,1,125,9,23.7,610,27,99.52,Pass,0.109,Rail,Route A,234.01,Mumbai,1.3,108914.73
10,Festive,haircare,123.81,85,276,Non-binary,47,9,37,12,18.14,241,32,105.56,Pending,0.096,Road,Route C,170.65,Delhi,1.3,44423.03
6,Rainy,haircare,72.64,38,923,Non-binary,212,12,124,8,9.86,222,10,24.53,Fail,0.057,Road,Route C,178.15,Mumbai,0.95,63694.38
12,Festive,skincare,98.91,20,667,Non-binary,320,12,229,8,10.37,1198,20,86.63,Pass,0.119,Air,Route B,221.56,Chennai,1.3,85764.86
9,Rainy,skincare,129.97,50,508,Female,469,10,235,14,14.91,307,29,107.59,Pass,0.183,Road,Route A,240.56,Mumbai,0.95,62723.52
1,Winter,skincare,112.57,23,876,Non-binary,275,9,252,4,22.06,742,16,53.53,Pending,0.039,Sea,Route B,109.15,Delhi,0.9,88750.19
11,Festive,haircare,32.54,77,1360,Male,452,16,188,14,7.45,104,32,99.23,Pending,0.091,Air,Route A,180.71,Hyderabad,1.3,57530.72
11,Festive,skincare,70.4,75,1401,Female,130,13,209,3,13.31,201,33,20.57,Pass,0.008,Road,Route A,138.63,Kolkata,1.3,128219.52
10,Festive,skincare,47.34,72,176,Male,443,3,274,3,13.98,717,31,86.53,Pass,0.239,Road,Route C,184.15,Bangalore,1.3,10831.39
12,Festive,skincare,57.96,62,1032,Female,213,18,283,13,23.49,473,17,44.07,Pass,0.19,Road,Route A,145.43,Delhi,1.3,77759.14
12,Festive,skincare,138.66,93,735,Non-binary,143,4,203,14,14.8,513,20,27.82,Pending,0.081,Air,Route A,46.08,Chennai,1.3,132489.63
3,Summer,skincare,34.43,68,639,Non-binary,110,19,91,4,20.18,243,26,70.02,Fail,0.043,Rail,Route C,181.92,Chennai,1.1,24200.85
12,Festive,haircare,56.38,79,1777,Female,155,13,177,4,4.93,315,24,56.66,Pass,0.133,Sea,Route A,159.0,Mumbai,1.3,130243.44
7,Rainy,skincare,67.15,35,1281,Non-binary,302,13,75,11,10.19,302,37,79.66,Pass,0.056,Road,Route B,153.86,Mumbai,0.95,81718.19
4,Summer,haircare,104.03,92,1290,Male,248,12,31,3,16.45,1076,11,105.62,Pass,0.136,Rail,Route C,234.17,Mumbai,1.1,147618.57
9,Rainy,skincare,94.09,79,1308,Male,164,1,110,8,17.91,1321,13,59.2,Pass,0.102,Sea,Route C,199.35,Mumbai,0.95,116916.23
3,Summer,skincare,56.19,66,1512,Non-binary,471,2,185,3,22.47,672,15,112.67,Pending,0.139,Rail,Route A,51.18,Hyderabad,1.1,93455.21
5,Summer,skincare,49.71,34,111,Female,447,3,281,7,15.99,714,29,46.85,Pass,0.134,Air,Route A,158.75,Bangalore,1.1,6069.59
3,Summer,haircare,58.42,82,268,Female,261,13,58,14,9.37,883,37,97.79,Fail,0.001,Air,Route C,106.95,Mumbai,1.1,17222.22
7,Rainy,haircare,90.3,47,930,Male,50,12,110,12,14.86,1210,24,84.06,Fail,0.175,Rail,Route A,93.63,Hyderabad,0.95,79780.05
5,Summer,haircare,62.54,39,1549,Non-binary,280,16,72,6,18.65,750,38,71.52,Fail,0.147,Air,Route B,228.71,Kolkata,1.1,106561.91
9,Rainy,skincare,143.71,82,548,Non-binary,79,14,46,8,20.26,1284,29,64.93,Fail,0.151,Sea,Route A,238.19,Bangalore,0.95,74815.43
7,Rainy,skincare,85.66,52,1617,Male,108,14,216,12,23.78,290,19,111.36,Pass,0.068,Road,Route B,49.93,Bangalore,0.95,131586.61
2,Winter,haircare,37.06,55,548,Female,495,17,231,12,7.2,236,31,84.84,Pass,0.238,Air,Route C,90.23,Kolkata,0.9,18277.99
4,Summer,haircare,117.51,32,1229,Non-binary,422,5,232,8,17.54,690,37,56.11,Pending,0.093,Air,Route A,208.79,Hyderabad,1.1,158861.77
9,Rainy,skincare,69.46,81,1889,Female,120,6,41,9,7.41,1480,35,75.22,Pending,0.061,Road,Route A,198.22,Bangalore,0.95,124649.44
12,Festive,haircare,108.42,87,526,Female,317,10,160,5,9.99,1049,19,75.12,Fail,0.008,Air,Route C,79.81,Bangalore,1.3,74137.6
2,Winter,skincare,63.55,42,1055,Male,298,9,83,11,6.14,152,17,107.7,Pass,0.149,Rail,Route C,118.97,Bangalore,0.9,60340.72
10,Festive,haircare,98.49,91,1015,Female,140,7,81,14,20.01,215,20,24.16,Pass,0.209,Rail,Route C,172.65,Hyderabad,1.3,129957.56
9,Rainy,haircare,122.66,32,1221,Male,262,4,286,6,23.11,53,34,64.08,Pass,0.048,Rail,Route A,230.01,Bangalore,0.95,142279.47
10,Festive,haircare,141.36,59,730,Non-binary,384,7,212,11,3.66,1339,21,71.01,Pending,0.17,Road,Route B,90.36,Hyderabad,1.3,134150.64
5,Summer,skincare,61.34,49,325,Female,96,11,112,14,20.9,301,22,35.2,Pending,0.001,Rail,Route C,194.96,Mumbai,1.1,21929.05
2,Winter,skincare,70.18,44,546,Male,292,6,184,5,8.32,1321,25,20.08,Pending,0.149,Road,Route C,66.76,Mumbai,0.9,34486.45
4,Summer,haircare,85.71,92,1787,Male,389,16,220,14,13.71,521,36,20.21,Pass,0.018,Rail,Route B,158.43,Delhi,1.1,168480.15
12,Festive,skincare,141.26,45,1599,Female,497,16,262,8,19.46,975,16,118.44,Pass,0.224,Air,Route C,184.12,Delhi,1.3,293637.16
12,Festive,skincare,138.17,43,302,Male,77,13,163,4,14.15,548,5,27.59,Pending,0.071,Sea,Route B,245.74,Kolkata,1.3,54245.54
7,Rainy,skincare,40.79,58,1067,Non-binary,266,12,153,11,8.09,315,17,29.02,Fail,0.123,Air,Route A,71.36,Delhi,0.95,41346.78
12,Festive,skincare,45.83,98,774,Female,490,2,28,3,22.94,1309,12,32.43,Pending,0.098,Air,Route A,83.13,Mumbai,1.3,46114.15
8,Rainy,haircare,89.46,80,1420,Non-binary,452,13,38,5,16.06,1257,18,118.88,Pass,0.145,Road,Route B,168.47,Kolkata,0.95,120681.54
3,Summer,skincare,42.79,68,733,Male,406,1,198,6,23.49,1415,20,94.46,Pass,0.078,Rail,Route C,249.86,Mumbai,1.1,34501.58
1,Winter,skincare,71.47,60,115,Non-binary,480,10,173,12,21.63,65,23,60.87,Pass,0.231,Sea,Route B,164.99,Bangalore,0.9,7397.14
4,Summer,haircare,47.81,89,1501,Male,115,10,275,2,22.28,833,14,118.7,Pending,0.081,Sea,Route C,150.22,Chennai,1.1,78939.09
